brand,url,total_items,total_pages
S.T. Dupont,https://www.chrono24.com/stdupont/index.htm,18,1
Salvatore Ferragamo,https://www.chrono24.com/salvatoreferragamo/index.htm,29,1
Sandoz,https://www.chrono24.com/sandoz/index.htm,81,2
Sarcar,https://www.chrono24.com/sarcar/index.htm,82,2
Scalfaro,https://www.chrono24.com/scalfaro/index.htm,2,1
Schäuble & Söhne,https://www.chrono24.com/schaeublesoehne/index.htm,0,0
Schaumburg,https://www.chrono24.com/schaumburg/index.htm,162,3
Schwarz Etienne,https://www.chrono24.com/schwarzetienne/index.htm,30,1
Sea-God,https://www.chrono24.com/seagod/index.htm,0,0
Sea-Gull,https://www.chrono24.com/seagull/index.htm,186,4
Sector,https://www.chrono24.com/sector/index.htm,238,4
Seiko,https://www.chrono24.com/seiko/index.htm,"19,720",329
Sekford,https://www.chrono24.com/sekford/index.htm,0,0
Sevenfriday,https://www.chrono24.com/sevenfriday/index.htm,342,6
Shinola,https://www.chrono24.com/shinola/index.htm,27,1
Sicura,https://www.chrono24.com/sicura/index.htm,78,2
Sinn,https://www.chrono24.com/sinn/index.htm,636,11
Skagen,https://www.chrono24.com/skagen/index.htm,53,1
Slava,https://www.chrono24.com/slava/index.htm,108,2
Snyper,https://www.chrono24.com/snyper/index.htm,5,1
Sothis,https://www.chrono24.com/sothis/index.htm,6,1
Speake-Marin,https://www.chrono24.com/speakemarin/index.htm,22,1
Spinnaker,https://www.chrono24.com/spinnaker/index.htm,329,6
Squale,https://www.chrono24.com/squale/index.htm,601,11
St. Gallen,https://www.chrono24.com/stgallen/index.htm,1,1
Starkiin,https://www.chrono24.com/starkiin/index.htm,5,1
Steelcraft,https://www.chrono24.com/steelcraft/index.htm,1,1
Steinhart,https://www.chrono24.com/steinhart/index.htm,162,3
Stowa,https://www.chrono24.com/stowa/index.htm,100,2
Strom,https://www.chrono24.com/strom/index.htm,52,1
Stuhrling,https://www.chrono24.com/stuhrling/index.htm,80,2
Swatch,https://www.chrono24.com/swatch/index.htm,"3,165",53
Swiss Military,https://www.chrono24.com/swissmilitary/index.htm,937,16
TAG Heuer,https://www.chrono24.com/tagheuer/index.htm,"13,347",223
Tavannes,https://www.chrono24.com/tavannes/index.htm,50,1
TB Buti,https://www.chrono24.com/tbbuti/index.htm,41,1
Technomarine,https://www.chrono24.com/technomarine/index.htm,109,2
Technos,https://www.chrono24.com/technos/index.htm,52,1
Temption,https://www.chrono24.com/temption/index.htm,39,1
Tempvs Compvtare,https://www.chrono24.com/tempvscompvtare/index.htm,1,1
Tendence,https://www.chrono24.com/tendence/index.htm,67,2
Terra Cielo Mare,https://www.chrono24.com/terracielomare/index.htm,39,1
Theorein,https://www.chrono24.com/theorein/index.htm,12,1
Thomas Ninchritz,https://www.chrono24.com/thomasninchritz/index.htm,7,1
Thorr,https://www.chrono24.com/thorr/index.htm,0,0
Tiffany,https://www.chrono24.com/tiffany/index.htm,523,9
Timberland Watches,https://www.chrono24.com/timberlandwatches/index.htm,6,1
Timex,https://www.chrono24.com/timex/index.htm,416,7
Tissot,https://www.chrono24.com/tissot/index.htm,"7,270",122
Titus,https://www.chrono24.com/titus/index.htm,65,2
Tokyo Flash,https://www.chrono24.com/tokyoflash/index.htm,1,1
Tommy Hilfiger,https://www.chrono24.com/tommyhilfiger/index.htm,137,3
Tonino Lamborghini,https://www.chrono24.com/toninolamborghini/index.htm,147,3
Torrini,https://www.chrono24.com/torrini/index.htm,0,0
Traser,https://www.chrono24.com/traser/index.htm,294,5
Tudor,https://www.chrono24.com/tudor/index.htm,"9,073",152
Tutima,https://www.chrono24.com/tutima/index.htm,161,3
TW Steel,https://www.chrono24.com/twsteel/index.htm,241,5
U-Boat,https://www.chrono24.com/uboat/index.htm,"1,012",17
Ulysse Nardin,https://www.chrono24.com/ulyssenardin/index.htm,"1,935",33
Unikatuhren,https://www.chrono24.com/unikatuhren/index.htm,4,1
Union Glashütte,https://www.chrono24.com/unionglashuette/index.htm,366,7
Universal Genève,https://www.chrono24.com/universalgenve/index.htm,"1,204",21
Urban Jürgensen,https://www.chrono24.com/urbanjuergensen/index.htm,19,1
Urwerk,https://www.chrono24.com/urwerk/index.htm,74,2
Vacheron Constantin,https://www.chrono24.com/vacheronconstantin/index.htm,"3,876",65
Valbray,https://www.chrono24.com/valbray/index.htm,5,1
Valentino,https://www.chrono24.com/valentino/index.htm,6,1
Van Cleef & Arpels,https://www.chrono24.com/vancleefarpels/index.htm,261,5
Van Der Bauwede,https://www.chrono24.com/vanderbauwede/index.htm,52,1
Vangarde,https://www.chrono24.com/vangarde/index.htm,2,1
Venezianico,https://www.chrono24.com/venezianico/index.htm,202,4
Ventura,https://www.chrono24.com/ventura/index.htm,41,1
Versace,https://www.chrono24.com/versace/index.htm,"1,587",27
Vianney Halter,https://www.chrono24.com/vianneyhalter/index.htm,6,1
Viceroy,https://www.chrono24.com/viceroy/index.htm,5,1
Victorinox Swiss Army,https://www.chrono24.com/victorinoxswissarmy/index.htm,866,15
Vigoria Miletto,https://www.chrono24.com/vigoriamiletto/index.htm,0,0
Villemont,https://www.chrono24.com/villemont/index.htm,9,1
Vincent Calabrese,https://www.chrono24.com/vincentcalabrese/index.htm,3,1
Visconti,https://www.chrono24.com/visconti/index.htm,38,1
Vixa,https://www.chrono24.com/vixa/index.htm,2,1
Vogard,https://www.chrono24.com/vogard/index.htm,6,1
Vollmer,https://www.chrono24.com/vollmer/index.htm,0,0
Volna,https://www.chrono24.com/volna/index.htm,9,1
Von Wangenheim,https://www.chrono24.com/vonwangenheim/index.htm,0,0
Vostok,https://www.chrono24.com/vostok/index.htm,964,17
Voutilainen,https://www.chrono24.com/voutilainen/index.htm,2,1
Vulcain,https://www.chrono24.com/vulcain/index.htm,417,7
Wakmann,https://www.chrono24.com/wakmann/index.htm,37,1
Waltham,https://www.chrono24.com/waltham/index.htm,186,4
Welder,https://www.chrono24.com/welder/index.htm,7,1
Wempe,https://www.chrono24.com/wempe/index.htm,42,1
Wenger,https://www.chrono24.com/wenger/index.htm,174,3
Werenbach,https://www.chrono24.com/werenbach/index.htm,8,1
Wittnauer,https://www.chrono24.com/wittnauer/index.htm,118,2
Wyler,https://www.chrono24.com/wyler/index.htm,51,1
Wyler Vetta,https://www.chrono24.com/wylervetta/index.htm,125,3
Xemex,https://www.chrono24.com/xemex/index.htm,12,1
Xetum,https://www.chrono24.com/xetum/index.htm,0,0
Yantar,https://www.chrono24.com/yantar/index.htm,0,0
Yema,https://www.chrono24.com/yema/index.htm,335,6
Yes Watch,https://www.chrono24.com/yeswatch/index.htm,1,1
Yves Saint Laurent,https://www.chrono24.com/yvessaintlaurent/index.htm,3,1
Zeitwinkel,https://www.chrono24.com/zeitwinkel/index.htm,4,1
Zenith,https://www.chrono24.com/zenith/index.htm,"6,511",109
Zeno-Watch Basel,https://www.chrono24.com/zenowatchbasel/index.htm,"1,609",27
ZentRa,https://www.chrono24.com/zentra/index.htm,55,1
Zeppelin,https://www.chrono24.com/zeppelin/index.htm,"1,175",20
Zodiac,https://www.chrono24.com/zodiac/index.htm,374,7
ZRC,https://www.chrono24.com/zrc/index.htm,125,3
